PAN_no,income,cibil_score,bank_account_number,card_type
ezFe0471K,1000143,656,VPSM37169859259749,Credit
tfph0229J,632011,726,ZVDZ08117031887851,
oXHy6999C,866985,693,GXMT28437407069051,debit
tKNd7496N,574837,798,CNZA15907635756919,
Qfkp1334l,697490,637,DIUZ11968002240379,
ACSM8120E,661749,836,VBAS45563633228553,debit
TsSD4034e,738213,656,LBSR55038507126281,
BhIo3493P,825684,789,NYUL24437239350007,credit
dkYt2421M,1012761,815,QPRV00441023960671,Debit
DStS9471z,824088,614,ZSCV05496769760752,Debit
CfMc4887B,695606,782,VHWU55552582256766,
foRK5940L,378643,659,PCXX82739144644343,credit
WWlE0490H,845580,761,VXWX79504923862167,debit
BOFf7429E,635674,768,WZMA35439044644781,
Qgkv5655A,531304,758,UTDG59591470976433,Debit
cDfu7468q,545092,653,IRBG29405034971189,Debit
aQID5168A,753566,847,UXVD73009578545638,debit
NWFO0385C,476991,840,EOZB81215365771888,Credit
isCS0348F,315597,793,DLKS09771806457505,Credit
TktJ1093a,503728,619,OJQW23225495662093,debit
hDhP8613j,,624,UPIE51978500000183,credit
AEEp7484D,573491,606,SZDC95591100861812,debit
MGVi8263e,493620,637,DXEW32209384495554,debit
rasU4658t,518381,698,IRCL67641891775324,Debit
CIEw9972v,643477,806,UOBS46369305824981,
umSp8867K,1207134,779,JUEB48595172578668,credit
uVET6360Z,630306,664,LEAQ25401454854820,Debit
ciGL6627v,996206,650,WIAB28239777697403,Debit
DaUj1718A,682585,844,OOFD74717716738314,Credit
vNSz2174P,745198,842,ITBW77238668268465,Credit
uOTW1586F,671642,627,XCCJ74173250881216,credit
pORs8091o,1039861,723,NOIY53121221704787,Credit
CkSt1611b,387262,754,ZBRS63088861958770,Debit
wxBj0504p,539095,768,FCGQ41922738769522,Credit
klfN8692y,587119,694,ZIQL30986309430696,Debit
joDO9379q,,847,EPZM35270894838943,debit
sRIk7407e,662980,775,MMVC82346583167669,credit
OBSq7594D,601331,736,YPIG43150207375233,debit
gpyK4367w,1001638,801,UQWO11850429678655,debit
Qzra9440K,89759,636,XCAS00893739025853,credit
XZoM0974Z,942320,783,TYAX49338265618660,
qRWU5339X,606638,794,CFOR21560112171585,
YCcL2104x,553240,689,QGJI64638594971158,
VAlm2145i,698124,829,ZFKJ80351647203505,
rkqE8588Z,876497,824,LTYE59900287154401,credit
ejWo4517R,542966,819,UXLS72454105668517,
Yzaq6851I,606267,636,TGVM97066244885671,credit
LyOx1754g,530328,646,TOYV72647392822445,debit
JuNo3709P,632025,641,ILEU45204936712316,Debit
hicc1746t,584696,796,XOZQ23906120708501,
IiyD7113x,590234,754,SGHT74448969764805,debit
APgF8692N,915278,744,FIRB75835984035791,credit
nCCp6405x,912609,617,QFEL13435783294376,Credit
dzrm1585h,465036,847,LVFI53095717100330,credit
bdYv7139p,805204,788,RGVM99731084023529,Debit
WJnL2931n,1203700,823,KMCI76357757210178,credit
arji3529I,808267,629,IIFI94308229059500,Debit
iawY4210Y,406621,847,OHYN27838648829334,
lqdi3950V,650923,819,RHBC08664148043004,debit
ECXx6811G,894912,770,WHAH30026399611093,debit
oNcU9178Y,900136,798,FQKY11517361889022,Credit
dEzB8470R,898190,736,YSVO87251123745663,
fuMj1771e,957612,775,RAWO75893586285161,Debit
JTuy2499M,960254,668,BZLJ74459837807635,Credit
MBgY8478S,770845,803,VOHD55090581373899,Credit
CoAv1836D,738657,613,MFAF25440758728131,Debit
BuQq6615x,697446,835,HBBX26826152176557,
ffBg2711V,394562,601,QLTO78282430962889,
LJJv5280Q,631546,806,TAAJ72926032042853,credit
UdsM1656t,883242,634,AJAY65413949775016,debit
njQE5198o,818671,809,FSRQ90995199826579,Debit
hWrK1585o,575306,692,MSUD93050972820378,Debit
RPJb6899M,1083648,637,PLXT01384484556958,
SWtv4024w,877557,608,MBIW86682819479753,Debit
Qzej0229V,837339,726,WVYF36686042654619,credit
yADv0183k,769566,668,PXTF20996532654954,credit
Mfdj5459k,462250,810,AJTF50303636702346,Debit
CQBF9014M,607557,649,QLAZ40403310708923,Debit
WGhw7643B,332553,790,UQUN19062702901649,debit
HQtc1497o,818396,673,KDAI78672444489460,Credit
ntnX6900i,971371,711,MORB03477511882733,credit
aFVB4451l,808027,669,LAKO89449399284083,Debit
GJQZ2683w,826928,810,WRQL33715935793044,debit
bDeu1606K,246950,737,IDNK44605163967546,
shzb6966u,435990,766,OUBN66787897325215,
fBgp2975B,780226,631,KCZU08711371054622,credit
ztVv9681o,417582,729,EADG36376735606749,debit
OhHG5218m,716484,703,KUSZ45240844471064,Credit
gjqm5523l,746107,786,QZPG70360585232311,credit
XOFD9212W,959092,734,HJGS50603949028153,Debit
PONu9979O,496190,838,QFOY23601677173242,Credit
ECOt5271Y,,665,OEJM17669607778436,Debit
GetD4905C,779041,632,BCWL74830112041797,Debit
ePfN0054M,686043,816,VFQO22806084742623,
JYVc8679C,833793,840,PNKX97470599956185,credit
EGjd9359C,751122,691,QGUH10586387077273,credit
Plcp1518T,771955,701,CKTO02775278588327,credit
Nkxx7788s,1038471,843,NRAT05127657891851,Credit
dYOP6659v,1191410,655,ENZK39119585383265,credit
Rysq1518U,694636,713,CNEL51587948567428,
LQjw9251t,747343,781,QDYN08232287932837,Credit
tJyP6291Y,935612,748,UXIR31835726281997,
PQBG5281x,791768,850,SVNR92855646348514,Credit
nvXF0542m,755728,750,XNDY51035297054584,credit
sYgG3221X,786720,718,EMUH99931485480479,debit
XNiM8805y,874133,792,VNYR75441215228055,
ZkUC2229c,1083334,795,OOJX68714913366924,Debit
NsWV6537Y,569234,833,DPIB76968010846847,Debit
tZYE7383m,337350,660,IKUX96375094748807,Credit
XsXy5977G,257462,737,YWCR26449477811693,debit
ZMiq8623d,883155,741,BMFV57057013965328,Credit
THhs7581f,629082,605,QAUE77273263325428,Credit
jBfo2478C,832588,817,NYGK74462403372155,
zGxp5060y,485719,816,KHDY96943099052145,Credit
ugTP1530v,1057206,690,MRIT05161848450076,Credit
ESiW2204T,767127,643,PQGU08450994623437,Credit
fbqn7790j,324747,741,SZPM35207959431622,Debit
hXsp8986t,303050,687,RHIP98394301536560,debit
OYND1036e,579535,823,CPRR99875736281265,debit
bOGK1798p,804872,601,XJPY76942215860879,Debit
NwpK2460A,480820,757,QGVB10404307439804,Credit
eHIG2185Y,830816,785,ENRZ02619298226749,
EcOy8806x,754712,799,WEDD89372021390168,debit
wpUQ4051O,986695,835,SGWQ22598425541560,Credit
cwIv1952P,763857,704,ZIEP41705738177358,Credit
ZieT2772X,1114750,689,FSVR14535358543694,credit
cYmc7043u,330211,701,BXGL23196639183378,Credit
EqcW4868P,533290,738,RTKI66396891213157,Debit
Pvrh3450Z,1111835,697,AKQU80537655612833,credit
yvlF5667S,843418,680,LPJR34011425031644,Debit
ZfUB7584f,522981,629,NRMU46036138033588,
sugf6928u,945055,739,AEGA94064864484338,Debit
TBkS4479C,504118,759,OGCI94076547781455,
NBrO5705Y,778528,604,KWLW36741964206072,debit
GZVR0165k,614536,632,ACVL34218333718943,credit
ciep0297X,915231,799,ATMX55543657980972,debit
cMjR5569C,815533,772,WTTZ09185746211079,
KiHx5571z,735284,777,GOLT96105112593867,credit
bVlF5431H,,674,ERPY02975691965503,
XqTC6814n,873513,713,XFLI73542824650537,debit
hieC9473l,984227,848,WXQB41463222546601,Debit
TeJI7155s,252499,643,ULMB34288213100902,Debit
Gohm4225Y,560142,656,ZTXF33147854857905,debit
xJKx2370D,660146,819,URPO97941157924002,credit
etzT8291U,781226,642,KPIP64073955608643,credit
Keiu7866P,938985,831,BXHY44035123026625,
wiXJ1778O,590181,656,ZMWC04770218605875,Debit
GdhH9226j,600232,732,WTDY19704772217656,Debit
TowH4225s,525108,736,FZQB97782125347284,Credit
riOt1438N,714179,812,DCVJ00854263729216,credit
LLjk8182Q,844647,715,PNXC53139569372556,Debit
cbfc9959P,716156,714,ZJLO96115201217595,credit
ANOb9439F,480464,708,IIKS06937224655467,Debit
pZZR8447z,902364,846,QMOL66492798903631,debit
kCAE4710D,485823,747,JZIV06520479562319,credit
uTuU3592w,884718,659,BFQO99222840925135,
Jgup6258D,431084,750,VZTO08722500103232,Debit
jgds1473y,744650,824,NFAO16368227802109,Credit
uKUu9632m,512235,759,YEND63968472042405,Debit
FtFb2787f,984329,732,MMXH37616927252037,credit
nLwd6873d,904334,614,SNWJ45287799145764,Debit
sIag4797B,583133,700,GUHR25432690962524,
xczd2456K,631267,732,XDJE68056651650272,Credit
seyG8358C,645948,634,PROB28546301609905,
higz8499x,1172871,616,FFMQ38608198119239,Debit
mMGz5852G,523475,654,CJTJ65950227841798,Credit
TvZE0002H,714092,637,KMVQ47858079281719,credit
iuNu7298k,578067,693,TTUN73236730659173,Debit
vGGI6949F,,840,QQNS33695027817189,debit
xvRh9470A,856001,684,LJQQ65338037140696,Debit
EqPY9409X,960632,619,RRQP55543551874158,credit
LEkH9930O,502532,821,STKC15457784198870,debit
cKSh9623m,483350,813,WSOI91455531474226,
jASn0756A,644785,716,OWXL56421247860685,Credit
TiHn8970J,700113,601,KAOK29495108492725,
ulDI5786v,921102,745,MFPM50912235263798,
Empr8549J,802254,843,HXGL99345905615230,Credit
TnST4344F,618773,631,OUFB19076519471688,Debit
YUrs5758h,395915,692,KUSR23064409653014,Debit
wXZj9866s,640447,747,ZKHY91781629456107,credit
CPqV0415E,520102,771,BIOX86883955835863,
JSri3384g,523676,655,FQOP21168315749493,credit
dQHo9933O,587458,616,BXFF62979851462172,
vTEg3016R,379693,844,NYJK40017639149632,Debit
APEE2082P,425294,699,FDSG67897715542420,debit
PdXf3454P,811309,827,EKLJ76955646829399,Credit
lAlc9380z,496053,674,KIYV80829314087477,debit
atKM7240g,434062,754,HXSU10199794529928,debit
HFiG5478D,567337,763,YVLT77878732255382,credit
kUDP4315q,840258,649,JFKT00636692425961,credit
KRWm2054l,894068,785,DOZG94222895121317,Debit
ufzQ9668g,787115,718,VADV91770028060838,Credit
paqy2275p,344867,738,RGFI75155239834066,
LUKa7454q,411680,615,LUAC84508795501337,credit
Dtkz5301R,677972,735,FUCO17460579374146,credit
xNoo8414i,542701,691,NJMD51480292840565,credit
xASJ7279E,792177,606,YJZA81334661843958,credit
YfHC8339H,702490,720,JIFN63694735932660,Credit
dJGm5191K,858262,753,FBIA69975890154337,Debit
HChR8225n,652002,839,GAES22319691283135,debit
CZdD9718i,688645,613,QGCC96613164340874,Credit
dJDR8679Z,724550,808,VORW36143786408408,Credit
aVnL4064e,577895,803,HUFG89942155703770,Debit
IdeE0651c,308555,767,HETZ70466330456172,debit
XPUP4622A,743250,607,XIHD15750804015129,
yfRQ5676I,558059,735,DYQJ02881515049976,credit
IzHi2512U,761385,761,OXMT31075116063035,debit
DRUI3004B,808599,749,RKBG70017523441894,Credit
Dwjr8633m,932519,781,BUJH10335511625942,Debit
Xbpn1069e,578934,665,OCHG30891151066093,
MRTd1907p,933568,791,YUST55925144924448,Debit
InWX0673d,888914,617,ULSU13462881720807,Credit
UKuK2843M,913427,683,OYJN86914687607772,debit
QHoA5342t,921533,726,HAWU96697516580534,Debit
VlOR4089B,610467,647,AULY17228307319156,credit
PQyY8705H,694622,837,OHFZ20510052953971,Debit
tylW5662I,878197,636,PSAC60488728167812,credit
TjZD7334d,466987,840,ZCDA71351011815626,credit
Hiyp8668q,600714,624,NBGV53803580365300,
xfIU3517m,740800,758,NVTB79436079791659,Credit
Mcem0469Z,510427,707,JDXW04787961402121,Credit
nvta9837n,1079172,829,XHRX82495752113438,debit
SMTn3173z,446842,757,TXXC54228890810944,debit
yDIP3854w,352243,649,ODAM71635462890431,credit
FDgZ4458U,954554,843,JPRF10758389898437,debit
uAcK7535o,667214,742,OTSO38632818330563,
LLUA2048s,1047660,834,OPRB44377805945012,Debit
yKpF2353J,369624,625,FDOQ35243150931186,debit
DkUY5477w,667216,771,HNTZ50658921030064,Credit
lIPd2287H,555035,602,DYIO21725274715337,
AiOo0100e,754636,847,NJUK41044855857597,Credit
DxdN2038O,696682,643,CBJB27560287760497,Credit
aIJA9770a,611745,631,SFDU66295092578337,debit
sbGS0848R,1014699,606,RWXN65603781192562,credit
Hjpm6211N,872911,641,XKKA49823610905665,Debit
Yzfx8454z,370135,688,HEJR13834428057722,
tRfP7933P,855852,622,JQYO89960201137433,credit
yJEd0166O,1061672,733,LWLR83976961918933,
BPYv0217K,734027,681,FCLW35619897216941,credit
nSKE1803r,570299,732,EBOA64539960499408,Credit
KQcl0148u,563151,641,NBWN48090623878029,Debit
WTze0392t,,801,GOIE85892350595671,Debit
yRIv2939y,731596,825,PRHY73574677116191,debit
dgBo2185e,776642,790,REQK27880903795881,debit
zXub5999O,757489,829,JUUT86905473439545,Debit
wJyB4773l,923802,658,TKAG49949270646917,Debit
sZpT9619e,603743,721,JXIA58834356307009,debit
TYOj1426V,1075298,754,UICD33647401999944,credit
fatC6551x,854016,625,HIJE97810026515591,Credit
lBCJ4121J,630507,741,VIWN52195630681743,credit
fwJf8610M,539157,807,KNMT09902755811834,Credit
sAyX9560f,817886,693,OSHQ84864299143303,debit
kRyk8398i,750437,743,ETCH49708782649985,
jekB4447r,720159,666,DJZF78033385259854,credit
xqpU6471O,870038,846,CJJF64174652764496,credit
Dgit7993a,680466,710,ROTF80735673862383,debit
ZvCv6596B,994789,717,JFUQ80117088689647,credit
MSmE9245u,748624,732,VNZI29533215675443,debit
VSOF2654K,,669,DBDJ46310354918444,Credit
Yzxh3564K,891100,646,PBCP45627579593069,credit
RXJb3982U,821514,796,JUQF85446401588103,
SeYY7374A,636606,836,HAVJ13529639194449,debit
qQjT7243B,759035,723,KDEJ85708283675938,debit
ELzI6179G,552660,839,OIJQ59585660347941,Credit
SZIM6805O,1001236,640,CDYS02586484178555,Credit
kPNc1135K,407849,620,WTXA21973481928176,debit
agqo6561G,1152925,761,FFDV17839069954394,
oCxz8899D,829753,715,OPKY09422570621526,Debit
bEgs9825A,495296,763,OHYB07911920779436,credit
tvDY1125n,796831,754,TOYL91008777196946,Credit
gCUS8757C,648298,850,EQKH70817846290888,debit
ZThb5140v,621056,729,CDRK13216888647807,credit
lJkv1238J,499804,815,MUDC02575414408172,Credit
OllO6736Q,534355,639,JDXX35342552396392,Debit
mCLB6609y,368988,831,TQPN45551966936931,debit
WTZY0334e,803586,687,EIWX67287050872274,
xumD9182h,614248,818,ULHG85108061616569,Debit
MyNz4785L,541063,611,AFCI98450316607622,Credit
NlRT1557Z,364427,835,FTFE02363622766084,
Riuh4991p,480909,718,OHGL01508705044145,Debit
SjGy4125A,703097,684,IGXI24148790503439,Debit
BlFO9296I,319357,838,IZRE52877906136502,Debit
silu2827C,431116,656,UKQM09732348578684,
Fimy9050J,1088449,642,GDAK09949702017693,
ATCF8767k,1127126,602,IJPY36292746216213,credit
scro1903I,465793,770,BZTB56009371711936,Credit
VXXF4279J,967664,797,HQPP49769516318487,Debit
rXIx8191I,988062,796,YTLT30003706721532,
BgVP0783W,819978,779,AIJA54520328155011,Debit
qwfC3407h,527195,849,VICP67820657270373,credit
TNOB3395k,894367,843,DWAZ03382931096473,Debit
ZdKw9233I,683652,736,RFET50470662165183,Credit
uTss4982K,492989,620,KXWN22657591656622,
WYAd4812r,776494,680,ORXV20992456230880,credit
TupW2232R,650163,809,FAQK52325510040329,credit
OrOA6729y,736227,819,JWPU74781226520412,debit
GVrS7116x,902908,754,MTPS39349556517358,debit
aXUf7759U,631970,656,SETA87116756786949,credit
znBn7518F,853946,762,SUQG93548598463585,Credit
JKiK4545F,712580,720,RSZK29228342826753,credit
OYDb5001h,587341,653,NGOS81263692550282,credit
BmSi2770P,643247,668,KYWC05151530522583,debit
Pxqf4241x,459517,612,BLMG37236446971364,Debit
USWo2064B,555352,630,QEPB41002227509158,
EeiL1103o,366092,768,PAHP05488361875750,Debit
SvhB8700S,678533,816,HHQJ96379019381201,credit
yfUZ2713g,892175,650,YGDZ15537205075034,
iyXW1554i,601937,785,JFFI97837854322142,credit
aNPk2189C,648606,659,DFOE84603458273622,Debit
NRCn5326f,539085,818,MVNT40779374199946,credit
UywB1219u,530206,691,SOKB37005817670050,
pJMM2341U,390716,718,LQXM82774992367216,Credit
nHMG9404m,473629,672,KMOZ10356991540379,debit
Fyhp6403F,614497,765,RWDU95406496911884,Debit
xuiy9180K,874126,705,RRFJ14669204893629,Debit
WEXe6582b,694684,684,TIYF77319431291285,Credit
ncdY9104z,415474,653,IABV17173723211913,debit
BSzf8486O,694390,806,GEWP68378766516874,credit
rftf8892G,955466,839,BUUB84859098336704,Credit
zLOW3285P,400183,707,OPQP18250282561694,credit
dpfB1463h,827579,831,AKZQ41831491255362,Credit
tQVQ7990V,762613,841,JLGJ15166926437545,Credit
SakF2102w,777788,813,PBGJ24521306673008,Debit
xiVX8842r,668307,694,DVDN04687547600632,
rHeq1056T,928749,640,XQFM06068509514078,Credit
GxdF9177K,744008,781,ZLWR69437048095723,
XgKR2524U,674878,612,ZJZR00164795294991,credit
capc1380E,,782,MFZX17721485249583,debit
cJZT5622V,851308,687,VYYC30210426355102,
AUur6353e,620960,827,SFHK58322448419390,Debit
Rdlo9518Z,843545,791,HCQQ40555284650710,credit
DsXt8061u,843495,662,CTXQ23212819275694,Debit
xmsK1870Y,762493,746,EBQR00955947535160,Credit
xLFX4937X,664714,609,MZTQ97378968224387,credit
aAbo3832I,873045,695,OCZI71748881526670,Credit
WQyV5050U,289535,611,JSYB40891652067573,debit
pAFd4138j,513318,668,AFHF91824945524107,debit
HASx4103D,870220,770,EIBM06112516350503,
iOze1918L,1148920,685,ZWDP98620041130186,credit
psqu9062Z,866222,729,FPJL22605708823899,Debit
roem6557i,444156,603,VAZP70996808137882,debit
kCDu9121A,425972,672,VVBM38338029956751,Debit
CtDq1853h,912048,716,QVKP37754910385485,debit
cnuj1249f,793765,607,YHDJ22992641428161,Debit
dRtq3568l,761988,747,AJJT68777386930418,Credit
VJpg0678D,1132334,640,ZAKN57562910482001,Debit
dXoi1210m,1160269,823,PMVZ68241677282043,Debit
Lqeb6519e,572050,738,OHKM46145212318085,credit
Zvhc3721D,669859,738,ICPR71060487612109,credit
UzFb0296y,841694,824,TKFE96137245931090,Debit
lrrC6253j,506571,748,JQPK84070288930780,Debit
pPsF0999A,,653,IUFM51070547281761,debit
ryiA8701m,,612,RTZL83951802797726,Debit
yYTw8380E,713622,681,XNGQ41702376999588,Debit
Guyr8759l,580428,749,RNZO60173208259927,Credit
bZXr0593d,722828,850,NPPZ74036390953261,credit
okgp7859Q,504159,756,VYGE83220049269993,debit
WoKZ3480y,503450,713,RWIR38416025538885,Credit
LuZV5223S,717972,692,HJMM57790773843362,Debit
KKjK5905m,,680,AWXG32993923558847,
Fcfd7842o,588494,751,TTOI62933026748336,
EavN9308m,752758,691,REMC55237882922669,credit
dbjL2525T,828709,795,BWDZ81434036992807,Credit
exTQ2185z,470325,760,MHLU82335732319531,credit
uikU9154B,1143922,616,PUKS27482961985423,Credit
SNYw7528o,408617,633,OCSO33119538992425,
USsi9264l,833269,619,NUEU45818659632042,Credit
clMu0969Z,532206,798,YHZQ71556877873854,Debit
FjvV9391e,394269,643,QPRG13648905728007,debit
OfTQ3552O,691977,826,UKZV87593484747001,Credit
npSe5704w,969544,728,VZRR27773716568875,Credit
yCUA4100k,927051,702,MBFX35982641724105,Debit
IygE6765Y,824688,810,QSUW96751250122025,Debit
eZcs9327b,948871,771,XWKA79796148141302,debit
vkyk5411U,663745,749,JMAO38716645445961,Debit
MNET1815b,920585,739,YMPN06160307488138,
kdgv6296n,255172,811,GVWZ88426762798755,
qQst3688p,721547,639,LXRE03891679136474,Debit
JFjd1069x,154250,803,TXGU51139106065355,Credit
QOME0614m,522781,786,WIVM84480061616776,Credit
OsfE1032h,620824,610,HUTE44974233784257,debit
QqfP4677I,445310,810,EXBG52410241640960,Credit
xlCc6256q,846911,643,NWZX40068817907198,Credit
rKdj7743W,277181,692,QRRJ16666338321825,credit
AWLo1158J,428945,674,QRCV23146512617251,Credit
IREK0686p,816559,641,VHFO40749200698753,credit
TcGK7416H,673453,611,ACYX05711073966763,Debit
WClk9921n,491654,604,PNRH00204809824412,Credit
fRBm3206O,653709,657,XWGD58314455159684,credit
UZef2945y,,621,XMXK08312767049294,credit
rHDa8685Y,634262,687,CMKY19213514693807,credit
hAjj9986K,679684,605,JTZI25702949654324,debit
KXgY9911s,,726,GIWM07645897923810,debit
yPFK8564M,826268,728,IKYO37294271394137,Debit
zjNM7024R,719054,841,TNDP69614579990924,Debit
SpdV6065E,557021,608,UIZD40529353658265,Debit
Yttr4505F,691895,622,LDXA12138031178861,Debit
VCXu1324r,813495,794,DJRS07397098069565,Debit
CnAV6913F,345853,687,FRBK76704546972271,debit
Yket8508T,675742,701,AKII11145910673671,Credit
Kblm8628m,618363,621,EFNL75650880236244,
dxTm0307r,315970,703,MLRW40281221634099,Credit
OhRb5786p,748784,784,FMXE79683687768200,debit
lELJ5797w,838126,795,XQMH95300107856244,Debit
sbyd5241k,852373,832,UHKC71944012700612,Credit
RnrP9333A,700916,664,UJEZ10551932537894,Credit
iPlM8007Z,810598,768,WORJ52515771561726,
ZtTT0349P,634175,778,NYJD94715044816171,Credit
DqnD4665t,800843,630,AIAG79522629752660,
gaGQ8969x,653579,652,YTZZ73597881055266,credit
tRgE8994e,835562,620,AWOD13714206406221,credit
qPTP5454t,909190,768,EJXQ30569957628195,Credit
dZZZ3283M,363738,739,LVGA95913443679531,Debit
PFsq6520A,906934,670,BUXD81208497297858,credit
TKmv6609U,798926,728,PPVQ50715070662015,credit
GtkQ3875J,890740,771,VTGM67573965351855,
iVqU2417Z,598480,844,SYJM65558504455222,Debit
owoV8251t,929416,609,LBEL04035997603677,
LsDh6554E,711354,651,JKZX05014575059745,debit
eEmG0999h,684438,633,RKHH58803374522674,credit
djim6846v,816566,729,NQYZ64923715217422,debit
uTlX6972f,842638,637,SFLF53633867233948,Credit
OdaC7525r,539149,631,IHNK96623421900148,credit
FYWX3292f,801526,824,XJML88054134808637,credit
zBEy2966a,654483,788,JOQK04852242627457,Debit
auWH0835m,532501,672,ZXGI87628935552146,debit
Swti0033g,848062,849,UFVG17225903243093,credit
kect6894s,877415,804,QDNI89569528122787,Credit
